,entry_signal_date,exit_signal_date,entry_fill_date,exit_fill_date,side,rv_entry,rv_exit,hedge_ratio_entry,hedge_ratio_exit,holding_days,gross_pnl,cost,net_pnl,closed_at_end,hy_spread_entry,ig_spread_entry,hy_spread_exit,ig_spread_exit,vol_regime,equity_regime,equity_credit_lag,HYG_vol_21,delta_hy,delta_ig
18,2011-06-28,2011-07-11,2011-06-29,2011-07-12,-1,0.01128901356607892,-0.0053548007413407595,2.706962971119295,2.6790301996671406,8,16643.81430741968,826.984126984127,15816.830180435554,False,-0.5587824569390937,-0.07194707059023699,-0.5743612401085373,-0.07187090878014404,low,bear,neither,0.10879820428257476,-0.01557878316944361,7.616181009294232e-05
19,2011-07-18,2011-07-27,2011-07-19,2011-07-28,-1,0.009575037671132214,0.0006010982695568989,2.624255324195278,2.5975001030164813,7,8973.939401575315,811.1111111111111,8162.828290464204,False,-0.5679442478372784,-0.07548816110725115,-0.565259337993152,-0.07115555755355636,low,bull,neither,0.08301010041751071,0.002684909844126393,0.004332603553694789
20,2011-08-02,2011-08-04,2011-08-03,2011-08-05,1,-0.01765259989644208,-0.0274123652483117,2.69000778079687,2.8338310201418713,2,-9759.76535186962,731.7460317460317,-10491.511383615652,False,-0.6006706179463042,-0.07691581481483614,-0.6324497694215298,-0.08364457321183545,low,bear,neither,0.07830685575411016,-0.03177915147522559,-0.00672875839699931
21,2011-08-05,2011-08-16,2011-08-08,2011-08-17,1,-0.012475235589887057,0.015073173526727213,2.881842671738971,2.73632751782688,7,27548.409116614268,811.1111111111111,26737.29800550316,False,-0.6917683403896729,-0.10898149306408943,-0.6636056765499351,-0.11119541870282387,high,bear,neither,0.18930368647076803,0.028162663839737867,-0.002213925638734446
22,2011-08-23,2011-09-06,2011-08-24,2011-09-07,-1,0.04226169162867888,-0.00755966042269951,2.5521565363327414,2.31061225184212,9,49821.35205137839,842.8571428571429,48978.49490852124,False,-0.6700995613231053,-0.12779028394870778,-0.6748589634216358,-0.11469416654691678,high,bear,neither,0.2528429019075285,-0.00475940209853043,0.013096117401791008
23,2011-11-28,2012-01-06,2011-11-29,2012-01-09,-1,0.041534415313339124,0.02344594859682836,2.080501065930179,1.8210925938801779,27,18088.466716510764,1128.5714285714284,16959.895287939336,False,-0.6846608181333501,-0.14543743815519966,-0.6364600255066022,-0.11716339420376927,high,bear,neither,0.1720320279334565,0.048200792626747924,0.02827404395143039
24,2012-02-13,2012-03-14,2012-02-14,2012-03-15,1,-0.004728336712627734,0.01280722392597422,1.7596947650383423,1.7020775210979304,21,17535.560638601954,1033.3333333333333,16502.22730526862,False,-0.6195707475455677,-0.09293991741694672,-0.5857760587080134,-0.0835998742692851,low,bull,neither,0.0529041187238308,0.03379468883755432,0.009340043147661625
25,2012-05-16,2012-06-01,2012-05-17,2012-06-04,1,-0.01991398529180899,-0.03182246185416471,1.449748437698655,1.3696628834196483,11,-11908.47656235572,874.6031746031746,-12783.079736958895,False,-0.6588994743186439,-0.11214951869865358,-0.6780026675420332,-0.11786288731278084,low,bear,neither,0.0757615282091179,-0.01910319322338927,-0.005713368614127259
26,2012-06-04,2012-06-12,2012-06-05,2012-06-13,1,-0.023241373052626857,-0.010785616067146453,1.3877439183810112,1.456959727811771,6,12455.756985480404,795.2380952380952,11660.518890242309,False,-0.6683492476542624,-0.11669534088044624,-0.6517957670748818,-0.11251175665914254,low,bear,neither,0.10158772676884838,0.016553480579380553,0.004183584221303702
27,2012-07-25,2012-08-08,2012-07-26,2012-08-09,1,-0.02399533724360914,-0.011183605715690215,1.7577660198399456,1.5928106234769106,10,12811.731527918924,858.7301587301587,11953.001369188765,False,-0.6271667382666011,-0.08570163009627936,-0.6044534797290363,-0.07744681209083507,low,bear,neither,0.07053889292176416,0.022713258537564784,0.008254818005444295
28,2012-12-11,2013-02-08,2012-12-12,2013-02-11,-1,0.018488577560562103,0.018941628425368617,0.9762100213022809,1.2834590574255784,40,-453.0508648065146,1334.9206349206347,-1787.9714997271494,False,-0.5743940435701657,-0.0639855223375532,-0.5556989258658745,-0.05756941244335191,low,bull,neither,0.054887293216140796,0.01869511770429111,0.006416109894201286
29,2013-04-05,2013-05-03,2013-04-08,2013-05-06,1,0.014308605356839421,0.016399003162799186,0.9886163917168065,3.4414970254420125,20,2090.397805959765,1017.4603174603174,1072.9374884994475,False,-0.5539621476969055,-0.05982516855913437,-0.5288415464008018,-0.05504778193313557,low,bull,credit_first,0.025003079354797165,0.025120601296103717,0.004777386625998796
