,entry_signal_date,exit_signal_date,entry_fill_date,exit_fill_date,side,rv_entry,rv_exit,hedge_ratio_entry,hedge_ratio_exit,holding_days,gross_pnl,cost,net_pnl,closed_at_end,hy_spread_entry,ig_spread_entry,hy_spread_exit,ig_spread_exit,vol_regime,equity_regime,equity_credit_lag,HYG_vol_21,delta_hy,delta_ig
76,2022-06-30,2022-07-19,2022-07-01,2022-07-20,1,-0.03125954290561217,0.0073662421228334884,0.3968235860601687,0.6609356093402144,12,38625.78502844566,890.4761904761905,37735.30883796947,False,-0.42867768759904773,0.03805695244044284,-0.3872945015762216,0.05239762258629448,high,bear,neither,0.18059842546223417,0.041383186022826146,0.014340670145851643
77,2022-10-05,2022-11-09,2022-10-06,2022-11-10,-1,0.03322784316361632,0.03489764423189273,1.317995958588923,-0.055952752198189536,25,-1669.801068276411,1096.8253968253969,-2766.6264651018078,False,-0.3576623412364261,0.045513113141864715,-0.34465320441645353,0.04978974009428221,high,bear,neither,0.16437622658597006,0.013009136819972567,0.004276626952417498
78,2022-12-06,2023-02-02,2022-12-07,2023-02-03,1,-0.001256663051979745,0.010446953624422162,0.5191551696024691,0.4862573736072936,39,11703.616676401907,1319.047619047619,10384.569057354289,False,-0.36255312953771623,0.07384736106809094,-0.3324649178767238,0.0859691799313913,high,bear,neither,0.15047502737206409,0.03008821166099246,0.012121818863300368
79,2023-03-02,2023-03-13,2023-03-03,2023-03-14,-1,0.022541823165235786,-0.007877949185737976,0.5397892436960003,0.5122959011489086,7,30419.772350973763,811.1111111111111,29608.661239862653,False,-0.3151547370853021,0.08250933721572709,-0.35567353056223233,0.06144911158221307,high,bear,neither,0.11030561512461945,-0.040518793476930215,-0.02106022563351402
80,2023-03-14,2023-03-31,2023-03-15,2023-04-03,1,-0.023032599427920797,-0.007884953674164974,0.5077791793038205,0.3394894877792837,13,15147.645753755824,906.3492063492063,14241.296547406617,False,-0.37328664496704017,0.05662718023250138,-0.35024551799087583,0.07505200783956494,high,bear,neither,0.10331654924104024,0.02304112697616434,0.018424827607063557
81,2023-08-10,2023-08-23,2023-08-11,2023-08-24,-1,0.02056765280287115,0.008058969576897446,1.9106233783983269,2.069267947513187,9,12508.683225973704,842.8571428571429,11665.82608311656,False,-0.29059569245624833,0.0876047178038355,-0.2933388960537964,0.09054090831784914,low,bull,equity_first,0.06239963732533626,-0.002743203597548094,0.0029361905140136424
82,2023-09-29,2023-10-11,2023-10-02,2023-10-12,-1,0.03218954456522555,0.02583905823499205,2.291559381965779,2.257183129804393,8,6350.486330233496,826.984126984127,5523.502203249369,False,-0.27401012458423557,0.08563439148497536,-0.2756604739359713,0.08637233486431535,low,bear,neither,0.052323690842547954,-0.001650349351735747,0.0007379433793399948
83,2023-10-19,2023-11-02,2023-10-20,2023-11-03,-1,0.04325787818060062,0.03186226934014902,2.225205616044031,2.1147365072797575,10,11395.6088404516,858.7301587301587,10536.87868172144,False,-0.2746074958373221,0.07802933346721602,-0.2619882907040535,0.0873777689348973,low,bear,neither,0.06601382269782148,0.012619205133268585,0.009348435467681285
84,2023-11-16,2024-01-05,2023-11-17,2024-01-08,1,-0.005085807050776436,0.002237593347231559,2.150322160186529,0.5648147339044957,33,7323.400398007995,1223.8095238095239,6099.590874198471,False,-0.2669355649626911,0.10164718988221218,-0.265427538337348,0.11786978355887456,low,bull,equity_first,0.07964044570545688,0.0015080266253431063,0.016222593676662386
85,2024-04-23,2024-05-06,2024-04-24,2024-05-07,-1,0.027373140181372713,0.01714770372959401,0.6926132072467555,1.1007765813148898,9,10225.436451778702,842.8571428571429,9382.579308921559,False,-0.22174604746445162,0.12271023005909014,-0.22403973540596572,0.1269418529428999,low,bull,equity_first,0.05535253529454787,-0.0022936879415141054,0.004231622883809752
86,2024-05-16,2024-06-26,2024-05-17,2024-06-27,1,0.006849247857763974,0.0057341928100721196,2.097242724487241,3.2563202568870944,27,-1115.055047691854,1128.5714285714284,-2243.6264762632827,False,-0.22629497942049986,0.1275049145815737,-0.23508269168804238,0.12298170420701969,low,bull,equity_first,0.05477284206429503,-0.008787712267542519,-0.0045232103745540125
87,2024-08-20,2024-08-30,2024-08-21,2024-09-03,1,-0.012466500210287806,-0.006082409089558011,1.7931254440593247,1.7431676963055402,8,6384.091120729796,826.984126984127,5557.106993745669,False,-0.24621323870797257,0.12412779053933373,-0.24566328986063352,0.12097700101830404,high,bull,neither,0.04440056560836846,0.0005499488473390546,-0.0031507895210296927
88,2024-10-21,2024-11-25,2024-10-22,2024-11-26,-1,0.013330442731554426,0.0063555448011739235,1.4700218517883739,2.229582831720777,25,6974.897930380503,1096.8253968253969,5878.072533555106,False,-0.21098506491727007,0.13183767705437915,-0.19829232722792486,0.13839150809354245,high,bull,neither,0.03136375081606899,0.012692737689345202,0.006553831039163294
89,2025-01-03,2025-01-27,2025-01-06,2025-01-28,-1,0.035270610141502706,0.020653939444484987,2.4404962855084436,2.7338324729482326,14,14616.67069701772,922.2222222222222,13694.448474795498,False,-0.1787381180497983,0.1329737508307122,-0.17902683843869624,0.1370199644465038,low,bull,neither,0.053136415121285474,-0.00028872038889793394,0.004046213615791605
90,2025-03-28,2025-04-21,2025-03-31,2025-04-22,1,-0.002554895213092906,0.010397081973106875,1.1026107744399145,1.2464246503802996,15,12951.977186199781,938.0952380952381,12013.881948104543,False,-0.21142204443013254,0.12311612323799545,-0.2141996350329769,0.1093043161393532,high,bear,neither,0.04834109597344835,-0.0027775906028443542,-0.013811807098642256
91,2025-08-01,2025-08-26,2025-08-04,2025-08-27,1,-0.005024905114984574,0.0020830306670714394,1.5352417421649487,1.5392523406205425,17,7107.935782056013,969.8412698412699,6138.094512214742,False,-0.1906477823441042,0.1319721446995197,-0.1838010675463768,0.1317971229317394,low,bull,neither,0.028835145892014268,0.006846714797727416,-0.00017502176778030898
92,2025-09-05,2025-10-06,2025-09-08,2025-10-07,1,-0.013998384209071818,-0.009626302512241058,1.5622006203280299,1.0738909815262967,21,4372.08169683076,1033.3333333333333,3338.748363497427,False,-0.194643135215784,0.13475588229902113,-0.18678533162139568,0.1413612419585007,low,bull,credit_first,0.03740474792489299,0.007857803594388313,0.006605359659479559
93,2025-12-04,2026-02-05,2025-12-05,2026-02-06,-1,0.004059864364703292,0.008472879491728535,-0.16600622680928478,0.6696296527162857,42,-4413.015127025244,1366.6666666666665,-5779.681793691911,False,-0.18454756245895815,0.13657870993974394,-0.17648852257694742,0.13916454154201277,low,bull,neither,0.03007674683363181,0.008059039882010732,0.002585831602268829
